code,term
1090241000000107,Angioimmunoblastic T-cell lymphoma with dysproteinaemia
1091861000000100,"Follicular lymphoma, cutaneous follicle centre"
1091891000000106,B-cell Hodgkin's lymphoma
1091921000000103,B-cell non-Hodgkin's lymphoma
109962001,Diffuse non-Hodgkin's lymphoma
109964000,"Diffuse non-Hodgkin's lymphoma, undifferentiated"
109965004,"Diffuse non-Hodgkin's lymphoma, lymphoblastic"
109966003,"Diffuse non-Hodgkin's lymphoma, immunoblastic"
109967007,"Diffuse non-Hodgkin's lymphoma, small cleaved cell"
109968002,"Diffuse non-Hodgkin's lymphoma, small cell"
109969005,"Diffuse non-Hodgkin's lymphoma, large cell"
109970006,"Follicular non-Hodgkin's lymphoma, small cleaved cell"
109971005,"Follicular non-Hodgkin's lymphoma, mixed small cleaved cell and large cell"
109972003,"Follicular non-Hodgkin's lymphoma, large cell"
109975001,T-zone lymphoma
109976000,Lymphoepithelioid lymphoma
109977009,Peripheral T-cell lymphoma
109978004,T-cell lymphoma
109979007,B-cell lymphoma
109989006,Multiple myeloma
110004001,"Acute promyelocytic leukemia, FAB M3"
110005000,"Acute myelomonocytic leukemia, FAB M4"
110006004,Prolymphocytic leukemia
110007008,Adult T-cell leukemia/lymphoma
111585004,Neutropenia associated with autoimmune disease
116811000119106,Non-Hodgkin lymphoma of central nervous system metastatic to lymph node of lower limb
116821000119104,Non-Hodgkin lymphoma of central nervous system metastatic to lymph node of upper limb
118599009,Hodgkin's disease
118600007,Malignant lymphoma
118601006,Non-Hodgkin's lymphoma
118602004,Hodgkin's granuloma
118605002,"Hodgkin lymphoma, nodular lymphocyte predominance"
118606001,Hodgkin's sarcoma
118607005,"Hodgkin lymphoma, lymphocyte-rich"
118608000,"Hodgkin's disease, nodular sclerosis"
118609008,"Hodgkin's disease, mixed cellularity"
118610003,"Hodgkin's disease, lymphocytic depletion"
118611004,Sézary's disease
118613001,Hairy cell leukemia
118615008,Malignant mast cell tumor
118617000,Burkitt's lymphoma
118618005,Mycosis fungoides
12301000132103,Acute lymphoid leukemia relapse
12311000132101,Refractory acute lymphoid leukemia
127220001,Malignant lymphoma of lymph nodes
127225006,Chronic myelomonocytic leukemia
127911000119105,Light chain nephropathy due to multiple myeloma
128875000,Primary cutaneous CD30 antigen positive large T-cell lymphoma
13048006,Orbital lymphoma
133751000119102,Lymphoma of colon
188487008,Lymphosarcoma and reticulosarcoma
188489006,"Reticulosarcoma of lymph nodes of head, face and neck"
188492005,Reticulosarcoma of lymph nodes of axilla and upper limb
188493000,Reticulosarcoma of lymph nodes of inguinal region and lower limb
188498009,Lymphosarcoma
188500005,"Lymphosarcoma of lymph nodes of head, face and neck"
188501009,Lymphosarcoma of intrathoracic lymph nodes
188502002,Lymphosarcoma of intra-abdominal lymph nodes
188503007,Lymphosarcoma of lymph nodes of axilla and upper limb
188504001,Lymphosarcoma of lymph nodes of inguinal region and lower limb
188505000,Lymphosarcoma of intrapelvic lymph nodes
188506004,Lymphosarcoma of spleen
188507008,Lymphosarcoma of lymph nodes of multiple sites
188510001,"Burkitt's lymphoma of lymph nodes of head, face and neck"
188511002,Burkitt's lymphoma of intrathoracic lymph nodes
188512009,Burkitt's lymphoma of intra-abdominal lymph nodes
188513004,Burkitt's lymphoma of lymph nodes of axilla and upper limb
188514005,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
188515006,Burkitt's lymphoma of intrapelvic lymph nodes
188516007,Burkitt's lymphoma of spleen
188517003,Burkitt's lymphoma of lymph nodes of multiple sites
