code,term
10759351000119103,Sickle cell anemia in mother complicating childbirth
11603001,Sickle cell retinopathy
127040003,Sickle cell-hemoglobin SS disease
127041004,Sickle cell-beta-thalassemia
127042006,Sickle cell beta plus thalassemia
127043001,Sickle cell-beta^0^-thalassemia
127044007,Sickle cell-delta beta^0^-thalassemia
127045008,Sickle cell anemia with coexistent alpha-thalassemia
127047000,Sickle cell-hemoglobin Lepore disease
127048005,Sickle cell-Hemoglobin O Arab disease
13886001,Sickle cell nephropathy
193370005,Proliferative retinopathy due to sickle cell disease
232033003,Sickle cell-hemoglobin C retinopathy
234391009,Sickle cell anemia with high hemoglobin F
25472008,Sickle cell-hemoglobin D disease
35434009,Sickle cell-hemoglobin C disease
36472007,Sickle cell-thalassemia disease
416214006,Sickle cell-hemoglobin D disease without crisis
416484003,Sickle cell-hemoglobin E disease with crisis
416638004,Sickle cell-hemoglobin E disease without crisis
416826005,Sickle cell-thalassemia disease with crisis
417048006,Sickle cell-thalassemia disease without crisis
417517009,Sickle cell-hemoglobin C disease with crisis
417683006,Sickle cell-hemoglobin C disease without crisis
417748003,Sickle cell-hemoglobin D disease with crisis
441482006,History of sickle cell anemia
444108000,Acute sickle cell splenic sequestration crisis
47024008,Sickle cell-hemoglobin E disease
769167005,Vaso-occlusive pain co-occurrent and due to sickle cell disease
